12.9	24904	16861	15405	12804	12593	11095	10448	11175	9796	11456
13	24906	16875	15340	12787	12597	11134	10448	11173	9791	11431
13.1	24903	16855	15409	12769	12615	11114	10389	11185	9802	11460
13.2	24891	16859	15417	12785	12602	11093	10420	11189	9811	11436
13.3	24899	16856	15344	12792	12614	11067	10486	11204	9815	11462
13.4	24853	16846	15423	12790	12602	11103	10433	11202	9828	11442
13.5	24860	16859	15408	12764	12604	11056	10392	11193	9791	11443
13.6	24863	16841	15342	12763	12604	11066	10418	11200	9831	11450
13.7	24897	16866	15384	12771	12600	11083	10361	11190	9820	11444
13.8	24880	16854	15424	12817	12617	11122	10401	11192	9783	11454
13.9	24861	16858	15349	12810	12617	11084	10467	11172	9792	11457
14	24864	16851	15404	12815	12610	11119	10432	11169	9819	11458
14.1	24844	16874	15412	12822	12604	11133	10405	11174	9784	11446
14.2	24874	16869	15358	12819	12617	11129	10422	11171	9797	11458
14.3	24889	16869	15362	12827	12618	11106	10377	11177	9802	11445
14.4	24862	16855	15390	12836	12621	11155	10437	11175	9798	11460
14.5	24901	16869	15417	12824	12609	11113	10414	11193	9783	11443
14.6	24873	16855	15330	12800	12612	11119	10426	11192	9808	11460
14.7	24878	16857	15342	12817	12599	11115	10466	11205	9790	11450
14.8	24868	16861	15406	12821	12601	11147	10468	11191	9796	11450
14.9	24866	16864	15401	12823	12606	11093	10431	11186	9799	11436
15	24874	16873	15332	12829	12599	11132	10468	11200	9768	11470
15.1	24864	16856	15338	12833	12604	11155	10429	11192	9799	11444
15.2	24881	16882	15409	12824	12612	11157	10389	11184	9796	11459
15.3	24860	16868	15380	12822	12591	11140	10453	11176	9780	11440
15.4	24897	16865	15361	12830	12597	11199	10339	11189	9796	11457
15.5	24880	16862	15327	12835	12596	11169	10416	11182	9820	11431
15.6	24915	16889	15413	12827	12588	11154	10431	11177	9788	11451
15.7	24884	16878	15397	12826	12600	11174	10421	11176	9774	11445
15.8	24863	16876	15325	12839	12590	11200	10386	11167	9801	11457
15.9	24897	16871	15311	12831	12600	11142	10466	11180	9769	11447
16	24890	16890	15392	12823	12590	11133	10425	11189	9762	11466
16.1	24883	16859	15392	12823	12592	11163	10425	11191	9774	11441
16.2	24872	16873	15320	12837	12589	11168	10397	11196	9770	11459
16.3	24880	16881	15325	12821	12597	11137	10430	11184	9763	11455
16.4	24869	16872	15352	12833	12587	11183	10433	11197	9774	11434
16.5	24864	16874	15421	12857	12588	11188	10403	11205	9757	11425
